,Index,H2_line,Vhi,Jhi,Vlo,Jlo,wl_mic,wl_lab,I_Inorm,Excit_hi_K,g_u_h_nu_Aul,F(0),E(0),F(MYSO),E(MYSO)
31,3122,3-0 Q(1),3.0,1.0,0.0,1.0,0.8497452,8497.45A,9.022e-05,17097.687,5.478e-19,0.0966188093933474,0.0086378707232583,0.118704409126713,0.0166916504440701
27,2942,3-0 S(0),3.0,2.0,0.0,0.0,0.8272653,8272.65A,7.753e-05,17387.183,2.591e-19,0.1660508567953188,0.0047254957393106,0.0328768301027997,0.0163927662562051
32,3142,3-0 Q(2),3.0,2.0,0.0,2.0,0.8522571,8522.57A,6.514e-05,17387.183,2.177e-19,0.1093014690887702,0.004602094519262,0.0445410550363738,0.003112643681301
24,2844,3-0 S(1),3.0,3.0,0.0,1.0,0.8150646,8150.65A,0.0001566,17817.931,1.864e-18,0.216151987700186,0.0078287984357814,0.0680375126353217,0.0084062687959894
22,2636,3-0 S(4),3.0,6.0,0.0,4.0,0.7890293,7890.29A,8.991e-05,19911.396,2.577e-18,0.1007163865366144,0.0051124773393881,0.0300099421226527,0.0035462954751931
39,3548,4-1 Q(1),4.0,1.0,1.0,1.0,0.9029257,9029.26A,0.0001811,22079.196,1.856e-18,0.2869625258935498,0.0201458612695247,0.1380233778706612,0.0195232120941329
37,3355,4-1 S(0),4.0,2.0,1.0,0.0,0.8789121,8789.12A,0.0001395,22352.468,8.401e-19,0.1933394644490904,0.0089643997792402,0.0613244324136871,0.003417994119092
40,3570,4-1 Q(2),4.0,2.0,1.0,2.0,0.9057204,9057.20A,0.0001223,22352.468,7.367e-19,0.2007742468681283,0.0066083434641074,,
35,3252,4-1 S(1),4.0,3.0,1.0,1.0,0.865972,8659.72A,0.000291,22758.987,5.904e-18,0.3801804613238291,0.0271889583360665,0.0422477199586988,0.0118138497339202
41,3603,4-1 Q(3),4.0,3.0,1.0,3.0,0.9099254,9099.25A,0.0001424,22758.987,2.89e-18,0.2074032274898112,0.0173414553771161,0.1952397846650795,0.1435273933873841
33,3164,4-1 S(2),4.0,4.0,1.0,2.0,0.8549876,8549.88A,0.0002369,23294.809,3.504e-18,0.2110160631316082,0.0149213852875548,0.037104383759637,0.0028087494464624
29,3034,4-1 S(4),4.0,6.0,1.0,4.0,0.8387652,8387.65A,0.0001552,24733.137,7.706e-18,0.078439249292877,0.0004572512806997,0.0239203258052582,0.0077370955466268
1,1300,4-0 S(5),4.0,7.0,0.0,5.0,0.6221627,6221.63A,2.736e-05,25622.762,3.523e-18,0.0374989164697699,0.0023647818414807,0.0233321374043188,0.0025934521852355
9,1913,5-1 Q(1),5.0,1.0,1.0,1.0,0.6987185,6987.18A,2.676e-05,26734.935,4.109e-19,0.0565737627594517,0.0019876313163022,0.0295413013488742,0.0026697010342251
8,1801,5-1 S(0),5.0,2.0,1.0,0.0,0.6847811,6847.81A,2.828e-05,26991.949,2.352e-19,0.0382505851833968,0.0033610918284685,0.0189897782505982,0.0025190712204846
11,1958,5-1 Q(3),5.0,3.0,1.0,3.0,0.7042984,7042.98A,2.067e-05,27374.175,6.493e-19,0.0363999299910411,0.0018041584672063,0.0201176031901222,0.0032928230685152
42,3615,5-2 S(2),5.0,4.0,2.0,2.0,0.9113545,9113.54A,0.0003025,27877.782,6.746e-18,0.0685684139467847,0.0033047038335275,,
5,1640,5-1 S(4),5.0,6.0,1.0,4.0,0.6645578,6645.58A,4.027e-05,29228.502,3.032e-18,0.0357542118086038,0.0022356222266938,0.0203635258656431,0.0007828919168513
17,2294,6-2 Q(1),6.0,1.0,2.0,1.0,0.7462843,7462.84A,4.3e-05,31062.939,1.058e-18,0.0839457496843352,0.0026064366486947,0.0242551011131871,0.0048626854711343
18,2314,6-2 Q(2),6.0,2.0,2.0,2.0,0.7488212,7488.21A,3.296e-05,31303.478,4.22e-19,0.0599393257181399,0.0019489921595013,0.011130802777251,0.0013818160465732
38,3405,5-2 S(7),5.0,9.0,2.0,7.0,0.8850658,8850.66A,0.0001837,32014.382,7.926e-17,0.2293706715467665,0.0157214810902303,0.089079118122141,0.0097657258250787
13,2066,6-2 S(2),6.0,4.0,2.0,2.0,0.7178579,7178.58A,7.529e-05,32131.997,2.74e-18,0.0706797547195083,0.0035965596832267,0.0256345719541343,0.0067975783194728
12,1997,6-2 S(5),6.0,7.0,2.0,5.0,0.709193,7091.93A,8.465e-05,34172.166,2.737e-17,0.0942295046651489,0.0063713154060058,0.0532812989103765,0.0045175978643872
7,1682,5-1 S(9),5.0,11.0,1.0,9.0,0.6699112,6699.11A,5.069e-05,34288.459,2.823e-17,0.0277203370731206,0.0021104958719137,0.0115635309904413,0.0022828322812969
25,2877,7-3 O(2),7.0,0.0,3.0,2.0,0.8192308,8192.31A,2.313e-05,34944.891,2.593e-19,0.0677600731631144,0.0062180699921065,0.0374228793305849,0.0024172369403905
0,1153,7-2 S(1),7.0,3.0,2.0,1.0,0.603746,6037.46A,2.367e-05,35613.272,1.657e-18,0.035878717192095,0.0034063328943525,0.0223621855852961,0.0048016711325638
21,2538,7-3 S(1),7.0,3.0,3.0,1.0,0.7768489,7768.49A,0.000112,35613.272,7.842e-18,0.113538649102526,0.0079523686369307,0.0232614141612215,0.0078913047122829
23,2790,7-3 Q(3),7.0,3.0,3.0,3.0,0.8082909,8082.91A,4.715e-05,35613.272,3.301e-18,0.059422267179319,0.0022524842493982,0.0370580314140369,0.0031684191021942
19,2426,7-3 S(5),7.0,7.0,3.0,5.0,0.7628557,7628.56A,0.0001012,37940.978,4.532e-17,0.233024686101522,0.0189468625345782,0.2646897230708915,0.0616022758855687
15,2079,6-2 S(9),6.0,11.0,2.0,9.0,0.7194431,7194.43A,7.209e-05,38099.569,5.67e-17,0.0255992784536764,0.0017684731115308,,
6,1648,8-3 Q(1),8.0,1.0,3.0,1.0,0.6656116,6656.12A,1.414e-05,38707.583,6.853e-19,0.0302644683564493,0.0024100601617757,0.0085420666366406,0.0019057568625789
